# Rt Group Reward Records - Total groups: 322
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
152,0,0.008,1,-1.88377,956,30,145.142,146.098,0.134237,0.13,0,0.966667
153,0,0.008,1,-1.84187,985,30,146.112,147.097,0.176567,0.13,0,0.966667
154,0,0.008,1,-1.95018,945,30,147.111,148.056,0.0671563,0.13,0,0.966667
155,0,0.008,1,-1.9567,975,30,148.071,149.046,0.0605741,0.13,0,0.966667
156,0,0.008,1,-1.95965,956,30,149.059,150.015,0.0575883,0.13,0,0.966667
157,0,0.008,1,-1.94174,931,30,150.029,150.96,0.0756847,0.13,0,0.966667
158,0,0.008,1,-1.96452,1003,30,150.975,151.978,0.0526779,0.13,0,0.966667
159,0,0.008,1,-1.96736,994,30,152.026,153.02,0.0498082,0.13,0,0.966667
160,0,0.008,1,-1.95164,993,30,153.002,153.995,0.0656875,0.13,0,0.966667
161,0,0.008,1,-1.95326,934,30,154.009,154.943,0.0640469,0.13,0,0.966667
162,0,0.008,1,-1.94757,922,30,154.941,155.863,0.0697995,0.13,0,0.966667
163,0,0.008,1,-1.97154,929,30,155.877,156.806,0.0455801,0.13,0,0.966667
164,0,0.008,1,-1.96615,993,30,156.82,157.813,0.0510227,0.13,0,0.966667
165,0,0.008,1,-1.95178,992,30,157.828,158.82,0.0655377,0.13,0,0.966667
166,0,0.008,1,-1.97842,996,30,158.801,159.797,0.0386372,0.13,0,0.966667
167,0,0.008,1,-1.97701,943,30,159.809,160.752,0.0400599,0.13,0,0.966667
168,0,0.008,1,-1.96965,962,30,160.766,161.728,0.0474948,0.13,0,0.966667
169,0,0.008,1,-1.94782,929,30,161.743,162.672,0.069543,0.13,0,0.966667
170,0,0.008,1,-1.92777,996,30,162.686,163.682,0.0897991,0.13,0,0.966667
171,0,0.008,1,-1.97016,997,30,163.697,164.694,0.0469784,0.13,0,0.966667
172,0,0.008,1,-1.96898,939,30,164.708,165.647,0.0481654,0.13,0,0.966667
173,0,0.008,1,-1.97636,957,30,165.66,166.617,0.0407101,0.13,0,0.966667
174,0,0.008,1,-1.73406,989,30,166.632,167.621,0.285463,0.13,0,0.966667
175,0,0.008,1,-1.9732,900,30,167.635,168.535,0.0439017,0.13,0,0.966667
176,0,0.008,1,-1.97926,970,30,168.549,169.519,0.037787,0.13,0,0.966667
177,0,0.008,1,-1.95991,997,30,169.533,170.53,0.0573274,0.13,0,0.966667
178,0,0.008,1,-1.95958,962,30,170.544,171.506,0.0576668,0.13,0,0.966667
179,0,0.008,1,-1.94175,928,30,171.523,172.451,0.0756696,0.13,0,0.966667
180,0,0.008,1,-1.94816,935,30,172.464,173.399,0.0691993,0.13,0,0.966667
181,0,0.008,1,-1.9318,994,30,173.416,174.41,0.0857196,0.13,0,0.966667
182,0,0.008,1,-1.95356,963,30,174.424,175.387,0.063749,0.13,0,0.966667
183,0,0.008,1,-1.96673,961,30,175.402,176.363,0.0504401,0.13,0,0.966667
184,0,0.008,1,-1.95453,997,30,176.378,177.375,0.0627618,0.13,0,0.966667
185,0,0.008,1,-1.96519,940,30,177.389,178.329,0.0519977,0.13,0,0.966667
186,0,0.008,1,-1.91879,928,30,178.342,179.27,0.0988672,0.13,0,0.966667
187,0,0.008,1,-1.79743,958,30,179.285,180.243,0.221451,0.13,0,0.966667
188,0,0.008,1,-1.9614,961,30,180.292,181.253,0.0558228,0.13,0,0.966667
189,0,0.008,1,-1.9682,994,30,181.235,182.229,0.0489581,0.13,0,0.966667
190,0,0.008,1,-1.98317,962,30,182.243,183.205,0.0338382,0.13,0,0.966667
191,0,0.008,1,-1.94242,955,30,183.22,184.175,0.0749987,0.13,0,0.966667
