frame_id,frame_type,deadline_time,first_packet_time,last_packet_time,frame_size,total_packets,packets_received,packets_before_deadline,delivery_ratio,missed_deadline,stall_duration_ms
254,0,8.6,244.854,245.78,45000,30,30,0,0,1,237180
255,0,8.63333,245.814,246.746,45000,30,30,0,0,1,238112
256,0,8.66667,246.78,247.721,45000,30,30,0,0,1,239054
257,0,8.7,247.756,248.691,45000,30,30,0,0,1,239990
258,0,8.73333,248.725,249.679,45000,30,30,0,0,1,240945
259,0,8.76667,249.713,250.724,45000,30,30,0,0,1,241957
260,0,8.8,250.793,251.775,45000,30,30,0,0,1,242975
261,0,8.83333,251.81,252.747,45000,30,30,0,0,1,243913
262,0,8.86667,252.782,253.691,45000,30,30,0,0,1,244824
263,0,8.9,253.725,254.667,45000,30,30,0,0,1,245766
264,0,8.93333,254.702,255.678,45000,30,30,0,0,1,246744
265,0,8.96667,255.712,256.652,45000,30,30,0,0,1,247685
266,0,9,256.689,257.662,45000,30,30,0,0,1,248662
267,0,9.03333,257.697,258.708,45000,30,30,0,0,1,249674
268,0,9.06667,258.743,259.683,45000,30,30,0,0,1,250616
269,0,9.1,259.718,260.662,45000,30,30,0,0,1,251562
270,1,9.13333,260.696,261.623,45000,30,30,0,0,1,252489
271,0,9.16667,261.657,262.575,45000,30,30,0,0,1,253408
272,0,9.2,262.608,263.517,45000,30,30,0,0,1,254316
273,0,9.23333,263.552,264.53,45000,30,30,0,0,1,255296
274,0,9.26667,264.548,265.425,45000,30,30,0,0,1,256158
275,0,9.3,265.46,266.435,45000,30,30,0,0,1,257135
276,0,9.33333,266.469,267.412,45000,30,30,0,0,1,258078
277,0,9.36667,267.446,268.389,45000,30,30,0,0,1,259022
278,0,9.4,268.424,269.364,45000,30,30,0,0,1,259963
279,0,9.43333,269.399,270.34,45000,30,30,0,0,1,260906
280,0,9.46667,270.375,271.345,45000,30,30,0,0,1,261878
281,0,9.5,271.378,272.299,45000,30,30,0,0,1,262799
282,0,9.53333,272.334,273.311,45000,30,30,0,0,1,263777
283,0,9.56667,273.345,274.256,45000,30,30,0,0,1,264689
284,0,9.6,274.29,275.266,45000,30,30,0,0,1,265666
285,0,9.63333,275.3,276.277,45000,30,30,0,0,1,266643
286,0,9.66667,276.311,277.22,45000,30,30,0,0,1,267553
287,0,9.7,277.255,278.23,45000,30,30,0,0,1,268529
288,0,9.73333,278.265,279.206,45000,30,30,0,0,1,269472
289,0,9.76667,279.243,280.231,45000,30,30,0,0,1,270464
290,0,9.8,280.264,281.232,45000,30,30,0,0,1,271432
