# FrameAwareWebrtcTrace Bandwidth Statistics
# Bandwidth scale factor (μ): 1
# Loss rate (L): 0.01
# Total bandwidth changes: 9282
# Total packet arrivals: 9600
# Sent records created: 42517888
timestamp_ms,trace_bandwidth_bps,trace_bandwidth_mbps,trace_rtt_ms,trace_loss,original_bandwidth_bps,original_bandwidth_mbps,scaled_bandwidth_bps,scaled_bandwidth_mbps,scale_factor
10638,1.17709e+06,1.17709,39,0.06,256552,0.256552,256552,0.256552,1
10668,1.17709e+06,1.17709,39,0.06,256552,0.256552,256552,0.256552,1
10703,1.17709e+06,1.17709,39,0.06,256994,0.256994,256994,0.256994,1
10738,1.17709e+06,1.17709,39,0.06,257437,0.257437,257437,0.257437,1
10768,3.14966e+06,3.14966,38,0.051,257437,0.257437,257437,0.257437,1
10803,3.14966e+06,3.14966,38,0.051,257879,0.257879,257879,0.257879,1
10838,3.14966e+06,3.14966,38,0.051,258321,0.258321,258321,0.258321,1
10868,3.14966e+06,3.14966,38,0.051,258321,0.258321,258321,0.258321,1
10903,3.14966e+06,3.14966,38,0.051,258763,0.258763,258763,0.258763,1
10938,3.14966e+06,3.14966,38,0.051,259206,0.259206,259206,0.259206,1
10968,3.14966e+06,3.14966,38,0.051,259206,0.259206,259206,0.259206,1
11003,3.14966e+06,3.14966,38,0.051,259649,0.259649,259649,0.259649,1
11038,3.14966e+06,3.14966,38,0.051,260093,0.260093,260093,0.260093,1
11068,3.14966e+06,3.14966,38,0.051,260093,0.260093,260093,0.260093,1
11103,3.14966e+06,3.14966,38,0.051,260537,0.260537,260537,0.260537,1
11138,3.14966e+06,3.14966,38,0.051,260982,0.260982,260982,0.260982,1
11168,3.14966e+06,3.14966,38,0.051,260982,0.260982,260982,0.260982,1
11203,3.14966e+06,3.14966,38,0.051,261408,0.261408,261408,0.261408,1
11238,3.14966e+06,3.14966,38,0.051,261871,0.261871,261871,0.261871,1
11268,502182,0.502182,42,0.039,261871,0.261871,261871,0.261871,1
